Open time,Open,High,Low,Close,Volume,Trade count,VWAP
2023-07-19 19:00:00,385.3,386.45,385.28,385.39,7433728.0,53789,385.7344
2023-07-20 14:00:00,383.28,383.37,379.36,380.0301,13710902.0,108844,380.9634
2023-07-20 15:00:00,380.03,381.45,379.93,380.46,6806976.0,55851,380.7032
2023-07-20 16:00:00,380.47,381.39,379.03,379.24,6839233.0,54311,380.2413
2023-07-20 17:00:00,379.22,379.755,378.92,379.17,7116382.0,44012,380.0402
2023-07-20 18:00:00,379.15,379.16,377.13,377.142,7475294.0,55900,378.1352
2023-07-20 19:00:00,377.15,377.48,375.72,376.68,15768284.0,118696,377.1156
2023-07-21 14:00:00,377.56,378.19,375.81,376.6,9998646.0,81867,377.0206
2023-07-21 15:00:00,376.6,378.06,376.43,377.26,8296548.0,50125,377.9253
2023-07-21 16:00:00,377.27,377.41,375.95,376.51,4795357.0,38945,376.6674
2023-07-21 17:00:00,376.51,378.37,376.41,378.22,4676015.0,37647,377.5582
2023-07-21 18:00:00,378.21,378.27,376.42,376.48,4193218.0,36292,377.1154
2023-07-21 19:00:00,376.49,376.55,375.191,375.575,13627001.0,96096,375.7334
2023-07-24 14:00:00,374.86,376.96,374.67,376.24,8725103.0,65864,375.8545
2023-07-24 15:00:00,376.24,376.97,375.17,376.21,5062932.0,45843,376.02
2023-07-24 16:00:00,376.21,376.67,375.515,375.9001,3983565.0,31941,376.0115
2023-07-24 17:00:00,375.91,376.91,375.61,376.74,3044452.0,28364,376.2144
2023-07-24 18:00:00,376.74,377.06,375.67,376.28,3267507.0,27836,376.3159
2023-07-24 19:00:00,376.28,376.488,375.325,376.24,5789708.0,46272,375.858
2023-07-25 14:00:00,378.76,378.91,377.29,377.53,5543126.0,56629,377.809
2023-07-25 15:00:00,377.53,379.25,377.47,378.85,4054647.0,35087,378.2311
2023-07-25 16:00:00,378.85,379.54,378.51,379.4982,2847246.0,29776,378.9273
2023-07-25 17:00:00,379.51,379.825,379.19,379.37,3516045.0,31246,379.1345
2023-07-25 18:00:00,379.365,380.47,379.23,379.3299,5327667.0,36968,379.6625
2023-07-25 19:00:00,379.33,380.089,378.8,378.8,7626846.0,53311,378.9248
2023-07-26 14:00:00,377.87,378.07,375.6,375.73,5526880.0,55619,377.2202
2023-07-26 15:00:00,375.73,377.15,375.18,376.9016,5212853.0,40716,376.1892
2023-07-26 16:00:00,376.91,377.198,375.8199,376.064,2792443.0,24946,376.4714
2023-07-26 17:00:00,376.06,376.415,375.87,376.2,2284575.0,22515,376.2109
2023-07-26 18:00:00,376.18,379.24,375.7,377.99,10739628.0,105149,377.6921
2023-07-26 19:00:00,378.01,378.32,375.31,377.55,12228350.0,106054,376.8636
2023-07-27 14:00:00,383.9,384.235,381.31,381.545,9332195.0,78719,382.3487
2023-07-27 15:00:00,381.56,383.23,381.53,382.0001,5384131.0,46595,381.7595
2023-07-27 16:00:00,382.01,383.57,381.96,383.04,3709899.0,34092,382.7082
2023-07-27 17:00:00,383.04,383.35,379.96,380.39,8282625.0,76016,380.9316
2023-07-27 18:00:00,380.405,380.69,376.17,376.17,12248942.0,98787,377.9801
